;cve.id
0;CVE-2025-9751
1;CVE-2025-9752
2;CVE-2025-9753
3;CVE-2025-9754
4;CVE-2025-9755
5;CVE-2025-9756
6;CVE-2025-9567
7;CVE-2025-9568
8;CVE-2025-9569
9;CVE-2025-9757
10;CVE-2025-7405
11;CVE-2025-7731
12;CVE-2025-9570
13;CVE-2025-9758
14;CVE-2025-9759
15;CVE-2025-9760
16;CVE-2025-9761
17;CVE-2025-9763
18;CVE-2025-20703
19;CVE-2025-20704
20;CVE-2025-20705
21;CVE-2025-20706
22;CVE-2025-20707
23;CVE-2025-20708
24;CVE-2025-54857
25;CVE-2025-6507
26;CVE-2025-9764
27;CVE-2025-9765
28;CVE-2025-9766
29;CVE-2025-9767
30;CVE-2022-38691
31;CVE-2022-38692
32;CVE-2022-38693
33;CVE-2022-38694
34;CVE-2022-38695
35;CVE-2022-38696
36;CVE-2025-58318
37;CVE-2025-9768
38;CVE-2025-9769
39;CVE-2025-9770
40;CVE-2025-9771
41;CVE-2025-9772
42;CVE-2025-9773
43;CVE-2025-9774
44;CVE-2025-9775
45;CVE-2025-36133
46;CVE-2025-9778
47;CVE-2024-12914
48;CVE-2024-12924
49;CVE-2024-12925
50;CVE-2025-0610
51;CVE-2025-2412
52;CVE-2025-9779
53;CVE-2025-9780
54;CVE-2025-9781
55;CVE-2025-9782
56;CVE-2025-0656
57;CVE-2025-33082
58;CVE-2025-33083
59;CVE-2025-33084
60;CVE-2025-33099
61;CVE-2025-33102
62;CVE-2025-9783
63;CVE-2025-55007
64;CVE-2025-57799
65;CVE-2025-9786
66;CVE-2025-9375
67;CVE-2025-3586
68;CVE-2025-9788
69;CVE-2025-9789
70;CVE-2025-9790
71;CVE-2025-9791
72;CVE-2025-9809
73;CVE-2025-9810
74;CVE-2025-9792
75;CVE-2025-9793
76;CVE-2025-9794
77;CVE-2025-9795
78;CVE-2024-28988
79;CVE-2025-9796
80;CVE-2025-9797
81;CVE-2025-9799
82;CVE-2025-9800
83;CVE-2025-9801
84;CVE-2025-9802
85;CVE-2025-57808
86;CVE-2025-58161
87;CVE-2025-58162
88;CVE-2025-58178
89;CVE-2025-9805
90;CVE-2025-9806
91;CVE-2025-8662
92;CVE-2025-9811
93;CVE-2025-9812
94;CVE-2025-9813
95;CVE-2025-9814
96;CVE-2025-9815
97;CVE-2025-41690
98;CVE-2025-44017
99;CVE-2025-41030
100;CVE-2025-41031
101;CVE-2025-9573
102;CVE-2024-12972
103;CVE-2024-12973
104;CVE-2024-52284
105;CVE-2024-58259
106;CVE-2025-0640
107;CVE-2025-2414
108;CVE-2025-46810
109;CVE-2025-52543
110;CVE-2025-52544
111;CVE-2025-52545
112;CVE-2025-52546
113;CVE-2025-52547
114;CVE-2025-52548
115;CVE-2025-52549
116;CVE-2025-52550
117;CVE-2025-52551
118;CVE-2025-56254
119;CVE-2025-57140
120;CVE-2025-5662
121;CVE-2025-6519
122;CVE-2024-12974
123;CVE-2025-0670
124;CVE-2025-2413
125;CVE-2025-46047
126;CVE-2025-9784
127;CVE-2024-48705
128;CVE-2025-50755
129;CVE-2025-50757
130;CVE-2024-51423
131;CVE-2025-54599
132;CVE-2025-55372
133;CVE-2025-57611
134;CVE-2025-57612
135;CVE-2025-57613
136;CVE-2025-57614
137;CVE-2025-57615
138;CVE-2025-57616
139;CVE-2025-55373
140;CVE-2025-55472
