cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9751,9.8,2025-09-08T14:06:05.217
CVE-2025-9752,9.8,2025-09-04T18:47:25.440
CVE-2025-9753,4.8,2025-09-04T18:46:50.757
CVE-2025-9754,5.4,2025-09-04T18:46:58.453
CVE-2025-9755,6.1,2025-09-05T19:54:52.480
CVE-2025-9756,8.8,2025-09-08T14:02:39.200
CVE-2025-9567,6.1,2025-09-25T14:18:08.317
CVE-2025-9568,6.1,2025-09-25T14:18:31.453
CVE-2025-9569,6.1,2025-09-25T14:18:03.243
CVE-2025-9757,9.8,2025-09-08T13:54:13.633
CVE-2025-7405,7.3,2025-09-02T15:55:25.420
CVE-2025-7731,7.5,2025-09-02T15:55:25.420
CVE-2025-9570,4.9,2025-09-25T14:18:25.953
CVE-2025-9758,9.8,2025-09-11T21:16:26.307
CVE-2025-9759,9.8,2025-09-08T13:53:29.567
CVE-2025-9760,8.8,2025-09-27T00:28:31.297
CVE-2025-9761,9.8,2025-09-08T13:45:56.043
CVE-2025-9763,9.8,2025-09-08T13:40:09.430
CVE-2025-20703,6.5,2026-02-17T15:16:08.090
CVE-2025-20704,8.0,2026-02-17T15:16:08.287
CVE-2025-20705,7.8,2025-09-03T16:07:32.640
CVE-2025-20706,7.8,2025-09-03T16:06:51.920
CVE-2025-20707,6.7,2025-09-03T16:06:46.333
CVE-2025-20708,8.8,2026-02-17T15:16:08.460
CVE-2025-54857,9.8,2025-09-02T15:55:25.420
CVE-2025-6507,9.8,2025-09-02T15:55:25.420
CVE-2025-9764,9.8,2025-09-08T13:33:13.147
CVE-2025-9765,9.8,2025-09-08T13:28:16.387
CVE-2025-9766,9.8,2025-09-08T13:50:02.277
CVE-2025-9767,9.8,2025-09-05T17:58:21.963
CVE-2022-38691,7.8,2025-09-02T15:55:25.420
CVE-2022-38692,9.8,2025-09-02T15:55:25.420
CVE-2022-38693,9.8,2025-09-02T15:55:25.420
CVE-2022-38694,7.8,2025-09-02T15:55:25.420
CVE-2022-38695,7.8,2025-09-02T15:55:25.420
CVE-2022-38696,9.8,2025-09-02T15:55:25.420
