CVE,epss,percentile,percentile_subset,timestamp,date,daily_cvss_baseScore,cve.lastModified_x,Unnamed: 0,cve.sourceIdentifier,cve.published,cve.lastModified_y,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,Team,isNetwork,NOprivilegesRequired,privileges_color,userInteraction,predicted_mean_daily_gain,predicted_total_gain,cvss_category,description_short,nvd_url
CVE-2025-55118,0.0005,0.15464,0.7758262075340883,2025-10-01,2025-10-01,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15444,0.7714351744857869,2025-10-02,2025-10-02,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15478,0.7681996764501965,2025-10-03,2025-10-03,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15421,0.7670441414374856,2025-10-04,2025-10-04,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15427,0.761035359371389,2025-10-05,2025-10-05,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15371,0.7580309683383406,2025-10-06,2025-10-06,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15307,0.7575687543332563,2025-10-07,2025-10-07,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15349,0.7573376473307141,2025-10-08,2025-10-08,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15357,0.7582620753408829,2025-10-09,2025-10-09,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
CVE-2025-55118,0.0005,0.15295,0.7571065403281719,2025-10-10,2025-10-10,,,2349,cert@airbus.com,2025-09-16 13:16:10.060,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000441972', 'source': 'cert@airbus.com'}, {'url': 'https://bmcapps.my.site.com/casemgmt/sc_KnowledgeArticle?sfdcid=000442099', 'source': 'cert@airbus.com'}]",,,,,"Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is configured.


The issue occurs in the following cases:

  *  Control-M/Agent 9.0.20: SSL/TLS configuration is set to the non-default setting ""use_openssl=n"";
  *  Control-M/Agent 9.0.21 and 9.0.22: Agent router configuration uses the non-default settings ""JAVA_AR=N"" and ""use_openssl=n"".",[],2.0,"['CWE-122', 'CWE-125', 'CWE-191', 'CWE-415', 'CWE-416', 'CWE-665', 'CWE-787', 'CWE-835']",3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:H,8.9,HIGH,NETWORK,HIGH,NONE,NONE,CHANGED,LOW,HIGH,HIGH,CVE-2025-55118,hifodbs,,,,,,,,Memory corruptions can be remotely triggered in the Control-M/Agent when SSL/TLS communication is co...,https://nvd.nist.gov/vuln/detail/CVE-2025-55118
