,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile
1428,CVE-2025-58447,security-advisories@github.com,2025-09-09 23:15:36.497,2025-09-17 20:53:21.610,Analyzed,"[{'url': 'https://github.com/rathena/rathena/commit/2f5248b9cd9a8c6b42422ddecfc4cc2cd0e69e4b', 'source': 'security-advisories@github.com', 'tags': ['Patch']}, {'url': 'https://github.com/rathena/rathena/security/advisories/GHSA-4p33-6xqr-cm6x', 'source': 'security-advisories@github.com', 'tags': ['Vendor Advisory']}]",,,,,"rAthena is an open-source cross-platform massively multiplayer online role playing game (MMORPG) server. Versions prior to commit 2f5248b have a heap-based buffer overflow in the login server, remote attacker to overwrite adjacent session fields by sending a crafted `CA_SSO_LOGIN_REQ` with an oversized token length. This leads to immediate denial of service (crash) and it is possible to achieve remote code execution via heap corruption. Commit 2f5248b fixes the issue.",['cpe:2.3:a:rathena:rathena:*:*:*:*:*:*:*:*'],2,"['CWE-122', 'CWE-787']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-58447,0.00279,0.50945
2103,CVE-2025-58045,security-advisories@github.com,2025-09-15 16:15:39.590,2025-09-19 19:34:04.427,Analyzed,"[{'url': 'https://github.com/dataease/dataease/commit/77078658715bd85af5867afbfd5f1fcc37cf03c8', 'source': 'security-advisories@github.com', 'tags': ['Patch']}, {'url': 'https://github.com/dataease/dataease/security/advisories/GHSA-fmq3-6xhc-r845', 'source': 'security-advisories@github.com', 'tags': ['Exploit', 'Vendor Advisory']}, {'url': 'https://github.com/dataease/dataease/security/advisories/GHSA-fmq3-6xhc-r845', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Vendor Advisory']}]",,,,,"Dataease is an open source data analytics and visualization platform. In Dataease versions up to 2.10.12, the patch introduced to mitigate DB2 JDBC deserialization remote code execution attacks only blacklisted the rmi parameter. The ldap parameter in the DB2 JDBC connection string was not filtered, allowing attackers to exploit the DB2 JDBC connection string to trigger server-side request forgery (SSRF). In higher versions of Java, ldap deserialization (autoDeserialize) is disabled by default, preventing remote code execution, but SSRF remains exploitable. Versions up to 2.10.12 are affected. The issue is fixed in version 2.10.13. Updating to 2.10.13 or later is recommended. No known workarounds are documented aside from upgrading.",['cpe:2.3:a:dataease:dataease:*:*:*:*:*:*:*:*'],3,['CWE-918'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-58045,0.00515,0.6566
2450,CVE-2025-34186,disclosure@vulncheck.com,2025-09-16 20:15:34.720,2025-09-25 14:56:49.430,Analyzed,"[{'url': 'https://packetstorm.news/files/id/208871/', 'source': 'disclosure@vulncheck.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://www.ilevia.com/', 'source': 'disclosure@vulncheck.com', 'tags': ['Product']}, {'url': 'https://www.vulncheck.com/advisories/ilevia-eve-x1-x5-server-auth-bypass', 'source': 'disclosure@vulncheck.com', 'tags': ['Third Party Advisory']}, {'url': 'https://www.zeroscience.mk/en/vulnerabilities/ZSL-2025-5958.php', 'source': 'disclosure@vulncheck.com', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,"Ilevia EVE X1/X5 Server version ≤ 4.7.18.0.eden contains a vulnerability in its authentication mechanism. Unsanitized input is passed to a system() call for authentication, allowing attackers to inject special characters and manipulate command parsing. Due to the binary's interpretation of non-zero exit codes as successful authentication, remote attackers can bypass authentication and gain full access to the system.",['cpe:2.3:o:ilevia:eve_x1_server_firmware:*:*:*:*:*:*:*:*'],4,"['CWE-78', 'CWE-287', 'CWE-78']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-34186,0.00812,0.73425
2628,CVE-2025-59340,security-advisories@github.com,2025-09-17 20:15:36.430,2025-09-26 13:11:40.227,Analyzed,"[{'url': 'https://github.com/HubSpot/jinjava/commit/66df351e7e8ad71ca04dcacb4b65782af820b8b1', 'source': 'security-advisories@github.com', 'tags': ['Patch']}, {'url': 'https://github.com/HubSpot/jinjava/releases/tag/jinjava-2.8.1', 'source': 'security-advisories@github.com', 'tags': ['Release Notes']}, {'url': 'https://github.com/HubSpot/jinjava/security/advisories/GHSA-m49c-g9wr-hv6v', 'source': 'security-advisories@github.com', 'tags': ['Vendor Advisory']}]",,,,,"jinjava is a Java-based template engine based on django template syntax, adapted to render jinja templates. Priori to 2.8.1, by using mapper.getTypeFactory().constructFromCanonical(), it is possible to instruct the underlying ObjectMapper to deserialize attacker-controlled input into arbitrary classes. This enables the creation of semi-arbitrary class instances without directly invoking restricted methods or class literals. As a result, an attacker can escape the sandbox and instantiate classes such as java.net.URL, opening up the ability to access local files and URLs(e.g., file:///etc/passwd). With further chaining, this primitive can potentially lead to remote code execution (RCE). This vulnerability is fixed in 2.8.1.",['cpe:2.3:a:hubspot:jinjava:*:*:*:*:*:*:*:*'],3,['CWE-1336'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-59340,0.00391,0.59373
2635,CVE-2025-59352,security-advisories@github.com,2025-09-17 20:15:37.757,2025-09-18 20:09:03.333,Analyzed,"[{'url': 'https://github.com/dragonflyoss/dragonfly/blob/main/docs/security/dragonfly-comprehensive-report-2023.pdf', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/dragonflyoss/dragonfly/security/advisories/GHSA-79hx-3fp8-hj66', 'source': 'security-advisories@github.com', 'tags': ['Patch', 'Third Party Advisory']}]",,,,,"Dragonfly is an open source P2P-based file distribution and image acceleration system. Prior to 2.1.0, the gRPC API and HTTP APIs allow peers to send requests that force the recipient peer to create files in arbitrary file system locations, and to read arbitrary files. This allows peers to steal other peers’ secret data and to gain remote code execution (RCE) capabilities on the peer’s machine.This vulnerability is fixed in 2.1.0.",['cpe:2.3:a:linuxfoundation:dragonfly:*:*:*:*:*:go:*:*'],2,"['CWE-22', 'CWE-202']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-59352,0.00563,0.67378
2889,CVE-2025-10690,security@wordfence.com,2025-09-19 03:15:35.177,2025-09-19 16:00:27.847,Awaiting Analysis,"[{'url': 'https://themeforest.net/item/goza-nonprofit-charity-wordpress-theme/23781575', 'source': 'security@wordfence.com'}, {'url': 'https://www.cve.org/CVERecord?id=CVE-2025-5394', 'source': 'security@wordfence.com'}, {'url': 'https://www.wordfence.com/threat-intel/vulnerabilities/id/628bfa19-2ffa-426b-8b88-22a0c4d0ba92?source=cve', 'source': 'security@wordfence.com'}]",,,,,"The Goza - Nonprofit Charity WordPress Theme theme for WordPress is vulnerable to unauthorized arbitrary file uploads due to a missing capability check on the 'beplus_import_pack_install_plugin' function in all versions up to, and including, 3.2.2. This makes it possible for unauthenticated attackers to upload zip files containing webshells disguised as plugins from remote locations to achieve remote code execution.",[],3,['CWE-862'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10690,0.00206,0.43117
2964,CVE-2025-57644,cve@mitre.org,2025-09-19 16:15:46.220,2025-09-22 21:23:01.543,Undergoing Analysis,"[{'url': 'https://medium.com/@anvarkh/cve-2025-57644-remote-code-execution-ssrf-in-accela-eedc6bc4adfb', 'source': 'cve@mitre.org'}, {'url': 'https://www.accela.com', 'source': 'cve@mitre.org'}]",,,,,"Accela Automation Platform 22.2.3.0.230103 contains multiple vulnerabilities in the Test Script feature. An authenticated administrative user can execute arbitrary Java code on the server, resulting in remote code execution. In addition, improper input validation allows for arbitrary file write and server-side request forgery (SSRF), enabling interaction with internal or external systems. Successful exploitation can lead to full server compromise, unauthorized access to sensitive data, and further network exploitation.",[],2,"['CWE-20', 'CWE-22', 'CWE-94', 'CWE-918']",3.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.1,CRITICAL,NETWORK,LOW,HIGH,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-57644,0.00366,0.57871
3046,CVE-2025-10779,cna@vuldb.com,2025-09-22 04:15:45.437,2025-09-25 20:01:52.330,Analyzed,"[{'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-1.pdf', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-2.pdf', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.325135', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.325135', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.653690', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.653691', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.dlink.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-1.pdf', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-2.pdf', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,A vulnerability was found in D-Link DCS-935L up to 1.13.01. The impacted element is the function sub_402280 of the file /HNAP1/. The manipulation of the argument HNAP_AUTH/SOAPAction results in stack-based buffer overflow. The attack may be launched remotely. The exploit has been made public and could be used. This vulnerability only affects products that are no longer supported by the maintainer.,['cpe:2.3:o:dlink:dcs-935l_firmware:*:*:*:*:*:*:*:*'],9,"['CWE-119', 'CWE-121', 'CWE-787']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10779,0.00066,0.20707
3439,CVE-2025-59528,security-advisories@github.com,2025-09-22 20:15:39.530,2025-09-23 16:45:09.443,Analyzed,"[{'url': 'https://github.com/FlowiseAI/Flowise/blob/5930f1119c655bcf8d2200ae827a1f5b9fec81d0/packages/components/nodes/tools/MCP/CustomMCP/CustomMCP.ts#L132', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/FlowiseAI/Flowise/blob/5930f1119c655bcf8d2200ae827a1f5b9fec81d0/packages/components/nodes/tools/MCP/CustomMCP/CustomMCP.ts#L220', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/FlowiseAI/Flowise/blob/5930f1119c655bcf8d2200ae827a1f5b9fec81d0/packages/components/nodes/tools/MCP/CustomMCP/CustomMCP.ts#L262-L270', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/FlowiseAI/Flowise/blob/5930f1119c655bcf8d2200ae827a1f5b9fec81d0/packages/server/src/controllers/nodes/index.ts#L57-L78', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/FlowiseAI/Flowise/blob/5930f1119c655bcf8d2200ae827a1f5b9fec81d0/packages/server/src/routes/node-load-methods/index.ts#L5', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/FlowiseAI/Flowise/blob/5930f1119c655bcf8d2200ae827a1f5b9fec81d0/packages/server/src/services/nodes/index.ts#L91-L94', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/FlowiseAI/Flowise/releases/tag/flowise%403.0.6', 'source': 'security-advisories@github.com', 'tags': ['Release Notes']}, {'url': 'https://github.com/FlowiseAI/Flowise/security/advisories/GHSA-3gcm-f6qx-ff7p', 'source': 'security-advisories@github.com', 'tags': ['Exploit', 'Vendor Advisory']}]",,,,,"Flowise is a drag & drop user interface to build a customized large language model flow. In version 3.0.5, Flowise is vulnerable to remote code execution. The CustomMCP node allows users to input configuration settings for connecting to an external MCP server. This node parses the user-provided mcpServerConfig string to build the MCP server configuration. However, during this process, it executes JavaScript code without any security validation. Specifically, inside the convertToValidJSONString function, user input is directly passed to the Function() constructor, which evaluates and executes the input as JavaScript code. Since this runs with full Node.js runtime privileges, it can access dangerous modules such as child_process and fs. This issue has been patched in version 3.0.6.",['cpe:2.3:a:flowiseai:flowise:3.0.5:*:*:*:*:*:*:*'],8,['CWE-94'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-59528,0.00489,0.64581
3596,CVE-2025-9054,security@wordfence.com,2025-09-24 12:15:29.760,2025-09-24 18:11:24.520,Awaiting Analysis,"[{'url': 'https://codecanyon.net/item/woocommerce-multi-locations-inventory-management/28949586#item-description__changelog', 'source': 'security@wordfence.com'}, {'url': 'https://www.wordfence.com/threat-intel/vulnerabilities/id/6a04e6ad-9365-4cb5-a0a0-82e047647d6b?source=cve', 'source': 'security@wordfence.com'}]",,,,,"The MultiLoca - WooCommerce Multi Locations Inventory Management plugin for WordPress is vulnerable to unauthorized modification of data that can lead to privilege escalation due to a missing capability check on the 'wcmlim_settings_ajax_handler' function in all versions up to, and including, 4.2.8. This makes it possible for unauthenticated attackers to update arbitrary options on the WordPress site. This can be leveraged to update the default role for registration to administrator and enable user registration for attackers to gain administrative user access to a vulnerable site.",[],2,['CWE-862'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9054,0.00097,0.27786
