,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile
24,CVE-2025-54857,vultures@jpcert.or.jp,2025-09-01 06:15:35.453,2025-09-02 15:55:25.420,Awaiting Analysis,"[{'url': 'https://jvn.jp/en/jp/JVN22016482/', 'source': 'vultures@jpcert.or.jp'}, {'url': 'https://www.seiko-sol.co.jp/archives/90289/', 'source': 'vultures@jpcert.or.jp'}]",,,,,"Improper neutralization of special elements used in an OS command ('OS Command Injection') issue exists in SkyBridge BASIC MB-A130 Ver.1.5.8 and earlier. If exploited, a remote unauthenticated attacker may execute arbitrary OS commands with root privileges.",[],2,['CWE-78'],3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-54857,0.00822,0.73729
120,CVE-2025-5662,security@huntr.dev,2025-09-02 12:15:38.420,2025-09-02 15:55:25.420,Awaiting Analysis,"[{'url': 'https://github.com/h2oai/h2o-3/commit/f714edd6b8429c7a7211b779b6ec108a95b7382d', 'source': 'security@huntr.dev'}, {'url': 'https://huntr.com/bounties/057a743b-b2ec-4312-8262-ce0ff8bc161c', 'source': 'security@huntr.dev'}]",,,,,A deserialization vulnerability exists in the H2O-3 REST API (POST /99/ImportSQLTable) that affects all versions up to 3.46.0.7. This vulnerability allows remote code execution (RCE) due to improper validation of JDBC connection parameters when using a Key-Value format. The vulnerability is present in the MySQL JDBC Driver version 8.0.19 and JDK version 8u112. The issue is resolved in version 3.46.0.8.,[],2,['CWE-502'],3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-5662,0.0074,0.72165
690,CVE-2025-55037,vultures@jpcert.or.jp,2025-09-05 06:15:32.303,2025-09-05 17:47:10.303,Awaiting Analysis,"[{'url': 'https://github.com/kujirahand/tkeasygui-python/releases/tag/v1.0.22', 'source': 'vultures@jpcert.or.jp'}, {'url': 'https://jvn.jp/en/jp/JVN48739895/', 'source': 'vultures@jpcert.or.jp'}]",,,,,"Improper neutralization of special elements used in an OS command ('OS Command Injection') issue exists in TkEasyGUI versions prior to v1.0.22. If this vulnerability is exploited, an arbitrary OS command may be executed by a remote unauthenticated attacker if the settings are configured to construct messages from external sources.",[],2,['CWE-78'],3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-55037,0.00768,0.72732
1049,CVE-2025-57285,cve@mitre.org,2025-09-08 18:15:34.160,2025-09-12 20:37:59.793,Analyzed,"[{'url': 'https://gist.github.com/Dremig/1ba111f9b1f7cffe1fcb4838b64e55b9', 'source': 'cve@mitre.org', 'tags': ['Third Party Advisory', 'Exploit']}, {'url': 'https://www.npmjs.com', 'source': 'cve@mitre.org', 'tags': ['Product']}]",,,,,"codeceptjs 3.7.3 contains a command injection vulnerability in the emptyFolder function (lib/utils.js). The execSync command directly concatenates the user-controlled directoryPath parameter without sanitization or escaping, allowing attackers to execute arbitrary commands.",['cpe:2.3:a:codecept:codeceptjs:3.7.3:*:*:*:*:node.js:*:*'],2,['CWE-77'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-57285,0.00961,0.75783
1870,CVE-2025-59359,reefs@jfrog.com,2025-09-15 12:15:33.633,2025-09-15 15:21:42.937,Undergoing Analysis,"[{'url': 'https://github.com/chaos-mesh/chaos-mesh/pull/4702', 'source': 'reefs@jfrog.com'}, {'url': 'https://jfrog.com/blog/chaotic-deputy-critical-vulnerabilities-in-chaos-mesh-lead-to-kubernetes-cluster-takeover', 'source': 'reefs@jfrog.com'}]",,,,,"The cleanTcs mutation in Chaos Controller Manager is vulnerable to OS command injection. In conjunction with CVE-2025-59358, this allows  unauthenticated in-cluster attackers to perform remote code execution across the cluster.",[],2,['CWE-78'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-59359,0.00675,0.70707
1871,CVE-2025-59360,reefs@jfrog.com,2025-09-15 12:15:33.790,2025-09-15 15:21:42.937,Undergoing Analysis,"[{'url': 'https://github.com/chaos-mesh/chaos-mesh/pull/4702', 'source': 'reefs@jfrog.com'}, {'url': 'https://jfrog.com/blog/chaotic-deputy-critical-vulnerabilities-in-chaos-mesh-lead-to-kubernetes-cluster-takeover', 'source': 'reefs@jfrog.com'}]",,,,,"The killProcesses mutation in Chaos Controller Manager is vulnerable to OS command injection. In conjunction with CVE-2025-59358, this allows unauthenticated in-cluster attackers to perform remote code execution across the cluster.",[],2,['CWE-78'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-59360,0.00675,0.70707
1872,CVE-2025-59361,reefs@jfrog.com,2025-09-15 12:15:33.940,2025-09-15 15:21:42.937,Undergoing Analysis,"[{'url': 'https://github.com/chaos-mesh/chaos-mesh/pull/4702', 'source': 'reefs@jfrog.com'}, {'url': 'https://jfrog.com/blog/chaotic-deputy-critical-vulnerabilities-in-chaos-mesh-lead-to-kubernetes-cluster-takeover', 'source': 'reefs@jfrog.com'}]",,,,,"The cleanIptables mutation in Chaos Controller Manager is vulnerable to OS command injection. In conjunction with CVE-2025-59358, this allows unauthenticated in-cluster attackers to perform remote code execution across the cluster.",[],2,['CWE-78'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-59361,0.00675,0.70707
2453,CVE-2025-34186,disclosure@vulncheck.com,2025-09-16 20:15:34.720,2025-09-25 14:56:49.430,Analyzed,"[{'url': 'https://packetstorm.news/files/id/208871/', 'source': 'disclosure@vulncheck.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://www.ilevia.com/', 'source': 'disclosure@vulncheck.com', 'tags': ['Product']}, {'url': 'https://www.vulncheck.com/advisories/ilevia-eve-x1-x5-server-auth-bypass', 'source': 'disclosure@vulncheck.com', 'tags': ['Third Party Advisory']}, {'url': 'https://www.zeroscience.mk/en/vulnerabilities/ZSL-2025-5958.php', 'source': 'disclosure@vulncheck.com', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,"Ilevia EVE X1/X5 Server version ≤ 4.7.18.0.eden contains a vulnerability in its authentication mechanism. Unsanitized input is passed to a system() call for authentication, allowing attackers to inject special characters and manipulate command parsing. Due to the binary's interpretation of non-zero exit codes as successful authentication, remote attackers can bypass authentication and gain full access to the system.",['cpe:2.3:o:ilevia:eve_x1_server_firmware:*:*:*:*:*:*:*:*'],4,"['CWE-78', 'CWE-287', 'CWE-78']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-34186,0.00821,0.73727
2647,CVE-2025-10644,zdi-disclosures@trendmicro.com,2025-09-17 21:15:37.807,2025-09-19 12:58:57.850,Analyzed,"[{'url': 'https://www.zerodayinitiative.com/advisories/ZDI-25-896/', 'source': 'zdi-disclosures@trendmicro.com', 'tags': ['Third Party Advisory']}]",,,,,"Wondershare Repairit SAS Token Incorrect Permission Assignment Authentication Bypass Vulnerability. This vulnerability allows remote attackers to bypass authentication on Wondershare Repairit. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the permissions granted to an SAS token. An attacker can leverage this vulnerability to launch a supply-chain attack and execute arbitrary code on customers' endpoints. Was ZDI-CAN-26892.",['cpe:2.3:a:wondershare:repairit:6.5.2:*:*:*:*:*:*:*'],1,['CWE-266'],3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L,9.4,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,LOW,CVE-2025-10644,0.00961,0.75776
4321,CVE-2025-10659,ics-cert@hq.dhs.gov,2025-09-30 20:15:36.450,2025-10-02 19:12:17.160,Awaiting Analysis,"[{'url': 'https://support.portal.megasys.com/', 'source': 'ics-cert@hq.dhs.gov'}, {'url': 'https://www.cisa.gov/news-events/ics-advisories/icsa-25-273-01', 'source': 'ics-cert@hq.dhs.gov'}]",,,,,"The Telenium Online Web Application is vulnerable due to a PHP endpoint accessible to unauthenticated network users that improperly handles user-supplied input. This vulnerability occurs due to the insecure termination of a regular expression check within the endpoint. Because the input is not correctly validated or sanitized, an unauthenticated attacker can inject arbitrary operating system commands through a crafted HTTP request, leading to remote code execution on the server in the context of the web application service account.",[],2,['CWE-78'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10659,0.00754,0.7246
