,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile
496,CVE-2024-43184,psirt@us.ibm.com,2025-09-04 15:15:45.200,2025-09-04 15:35:29.497,Awaiting Analysis,"[{'url': 'https://www.ibm.com/support/pages/node/7244013', 'source': 'psirt@us.ibm.com'}]",,,,,"IBM Jazz Foundation 7.0.2 through 7.0.2 iFix033, 7.0.3 through 7.0.3 iFix012, and 7.1.0 through 7.1.0 iFix002 is vulnerable to cross-site scripting. This vulnerability allows an unauthenticated attacker to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.",[],1,['CWE-79'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,CVE-2024-43184,0.00072,0.22778
939,CVE-2025-10046,security@wordfence.com,2025-09-06 07:15:33.320,2025-09-08 16:25:38.810,Awaiting Analysis,"[{'url': 'https://plugins.svn.wordpress.org/elex-woocommerce-google-product-feed-plugin-basic/tags/1.4.3/includes/elex-manage-feed-ajax.php#29', 'source': 'security@wordfence.com'}, {'url': 'https://plugins.trac.wordpress.org/changeset/3342699/elex-woocommerce-google-product-feed-plugin-basic/tags/1.4.4/includes/elex-manage-feed-ajax.php', 'source': 'security@wordfence.com'}, {'url': 'https://www.wordfence.com/threat-intel/vulnerabilities/id/0afe37bb-fa8a-4e7b-93c6-c44b3fbeb904?source=cve', 'source': 'security@wordfence.com'}]",,,,,"The ELEX WooCommerce Google Shopping (Google Product Feed) plugin for WordPress is vulnerable to SQL Injection via the 'file_to_delete' parameter in all versions up to, and including, 1.4.3 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query.  This makes it possible for authenticated attackers, with Administrator-level access and above, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database.",[],3,['CWE-89'],3.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,4.9,MEDIUM,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-10046,0.00117,0.31379
1164,CVE-2025-54236,psirt@adobe.com,2025-09-09 14:15:46.563,2025-09-22 18:15:43.593,Modified,"[{'url': 'https://helpx.adobe.com/security/products/magento/apsb25-88.html', 'source': 'psirt@adobe.com', 'tags': ['Vendor Advisory']}, {'url': 'https://nullsecurityx.codes/cve-2025-54236-sessionreaper-unauthenticated-rce-in-magento', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0'}]",,,,,"Adobe Commerce versions 2.4.9-alpha2, 2.4.8-p2, 2.4.7-p7, 2.4.6-p12, 2.4.5-p14, 2.4.4-p15 and earlier are affected by an Improper Input Validation vulnerability. A successful attacker can abuse this to achieve session takeover, increasing the confidentiality, and integrity impact to high. Exploitation of this issue does not require user interaction.","['cpe:2.3:a:adobe:commerce:2.4.4:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p10:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p11:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p12:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p13:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p14:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p15:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p8:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.4:p9:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p10:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p11:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p12:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p13:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p14:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p8:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.5:p9:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p10:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p11:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p12:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p8:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.6:p9:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:b1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:b2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:beta3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.7:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.8:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.8:beta1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.8:beta2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.8:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.8:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.9:alpha1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce:2.4.9:alpha2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p10:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p11:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p12:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p13:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p14:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p15:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p8:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.3:p9:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p10:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p11:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p12:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p13:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p14:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p8:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.3.4:p9:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p3:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p4:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p5:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p6:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.4.2:p7:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.5.2:-:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.5.2:p1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.5.2:p2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.5.3:alpha1:*:*:*:*:*:*', 'cpe:2.3:a:adobe:commerce_b2b:1.5.3:alpha2:*:*:*:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:-:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p10:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p11:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p12:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p13:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p14:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p2:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p3:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p4:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p5:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p6:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p7:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p8:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.5:p9:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:-:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p10:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p11:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p12:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p2:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p3:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p4:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p5:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p6:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p7:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p8:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.6:p9:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:-:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:b1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:b2:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:beta3:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p2:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p3:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p4:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p5:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p6:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.7:p7:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.8:-:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.8:beta1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.8:beta2:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.8:p1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.8:p2:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.9:alpha1:*:*:open_source:*:*:*', 'cpe:2.3:a:adobe:magento:2.4.9:alpha2:*:*:open_source:*:*:*']",2,['CWE-20'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,CVE-2025-54236,0.00333,0.55705
1251,CVE-2025-54247,psirt@adobe.com,2025-09-09 17:15:58.223,2025-09-12 14:21:33.017,Analyzed,"[{'url': 'https://helpx.adobe.com/security/products/experience-manager/apsb25-90.html', 'source': 'psirt@adobe.com', 'tags': ['Vendor Advisory']}]",,,,,Adobe Experience Manager versions 6.5.23.0 and earlier are affected by an Improper Input Validation vulnerability that could result in a Security feature bypass. A low-privileged attacker could leverage this vulnerability to bypass security measures and gain unauthorized read access.,"['cpe:2.3:a:adobe:experience_manager:*:*:*:*:-:*:*:*', 'cpe:2.3:a:adobe:experience_manager:*:*:*:*:aem_cloud_service:*:*:*', 'cpe:2.3:a:adobe:experience_manager:6.5:-:*:*:lts:*:*:*', 'cpe:2.3:a:adobe:experience_manager:6.5:sp1:*:*:lts:*:*:*']",1,['CWE-20'],3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,6.5,MEDIUM,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-54247,0.00096,0.27731
1252,CVE-2025-54248,psirt@adobe.com,2025-09-09 17:15:58.430,2025-09-12 14:21:57.403,Analyzed,"[{'url': 'https://helpx.adobe.com/security/products/experience-manager/apsb25-90.html', 'source': 'psirt@adobe.com', 'tags': ['Vendor Advisory']}]",,,,,Adobe Experience Manager versions 6.5.23.0 and earlier are affected by an Improper Input Validation vulnerability that could result in a Security feature bypass. A low-privileged attacker could leverage this vulnerability to bypass security measures and gain unauthorized read access. Scope is changed,"['cpe:2.3:a:adobe:experience_manager:*:*:*:*:-:*:*:*', 'cpe:2.3:a:adobe:experience_manager:*:*:*:*:aem_cloud_service:*:*:*', 'cpe:2.3:a:adobe:experience_manager:6.5:-:*:*:lts:*:*:*', 'cpe:2.3:a:adobe:experience_manager:6.5:sp1:*:*:lts:*:*:*']",1,['CWE-20'],3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,7.7,HIGH,NETWORK,LOW,LOW,NONE,CHANGED,HIGH,NONE,NONE,CVE-2025-54248,0.00096,0.27731
1254,CVE-2025-54250,psirt@adobe.com,2025-09-09 17:15:58.870,2025-09-12 14:22:03.050,Analyzed,"[{'url': 'https://helpx.adobe.com/security/products/experience-manager/apsb25-90.html', 'source': 'psirt@adobe.com', 'tags': ['Vendor Advisory']}]",,,,,Adobe Experience Manager versions 6.5.23.0 and earlier are affected by an Improper Input Validation vulnerability that could result in a Security feature bypass. A high-privileged attacker could leverage this vulnerability to bypass security measures and gain unauthorized write access.,"['cpe:2.3:a:adobe:experience_manager:*:*:*:*:-:*:*:*', 'cpe:2.3:a:adobe:experience_manager:*:*:*:*:aem_cloud_service:*:*:*', 'cpe:2.3:a:adobe:experience_manager:6.5:-:*:*:lts:*:*:*', 'cpe:2.3:a:adobe:experience_manager:6.5:sp1:*:*:lts:*:*:*']",1,['CWE-20'],3.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.9,MEDIUM,NETWORK,LOW,HIGH,NONE,UNCHANGED,NONE,HIGH,NONE,CVE-2025-54250,0.00224,0.45231
1267,CVE-2025-54902,secure@microsoft.com,2025-09-09 17:16:01.530,2025-10-01 20:29:54.223,Analyzed,"[{'url': 'https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54902', 'source': 'secure@microsoft.com', 'tags': ['Vendor Advisory']}]",,,,,Out-of-bounds read in Microsoft Office Excel allows an unauthorized attacker to execute code locally.,"['cpe:2.3:a:microsoft:365_apps:-:*:*:*:enterprise:*:x64:*', 'cpe:2.3:a:microsoft:365_apps:-:*:*:*:enterprise:*:x86:*', 'cpe:2.3:a:microsoft:excel:2016:*:*:*:*:*:x64:*', 'cpe:2.3:a:microsoft:excel:2016:*:*:*:*:*:x86:*', 'cpe:2.3:a:microsoft:office:2019:*:*:*:*:*:x64:*', 'cpe:2.3:a:microsoft:office:2019:*:*:*:*:*:x86:*', 'cpe:2.3:a:microsoft:office_long_term_servicing_channel:2021:*:*:*:*:-:x64:*', 'cpe:2.3:a:microsoft:office_long_term_servicing_channel:2021:*:*:*:*:-:x86:*', 'cpe:2.3:a:microsoft:office_long_term_servicing_channel:2021:*:*:*:*:macos:*:*', 'cpe:2.3:a:microsoft:office_long_term_servicing_channel:2024:*:*:*:*:-:x64:*', 'cpe:2.3:a:microsoft:office_long_term_servicing_channel:2024:*:*:*:*:-:x86:*', 'cpe:2.3:a:microsoft:office_long_term_servicing_channel:2024:*:*:*:*:macos:*:*', 'cpe:2.3:a:microsoft:office_online_server:*:*:*:*:*:*:*:*']",1,"['CWE-125', 'CWE-416']",3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-54902,0.00062,0.19684
1292,CVE-2025-55243,secure@microsoft.com,2025-09-09 17:16:07.100,2025-10-02 18:04:11.613,Analyzed,"[{'url': 'https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55243', 'source': 'secure@microsoft.com', 'tags': ['Vendor Advisory']}]",,,,,Exposure of sensitive information to an unauthorized actor in Microsoft Office Plus allows an unauthorized attacker to perform spoofing over a network.,['cpe:2.3:a:microsoft:officeplus:*:*:*:*:*:*:*:*'],1,['CWE-200'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-55243,0.00085,0.25874
1584,CVE-2025-9918,f45cbf4e-4146-4068-b7e1-655ffc2c548c,2025-09-11 08:15:40.057,2025-09-11 17:14:10.147,Awaiting Analysis,"[{'url': 'https://cloud.google.com/chronicle/docs/security-bulletins#GCP-2025-049', 'source': 'f45cbf4e-4146-4068-b7e1-655ffc2c548c'}, {'url': 'https://cloud.google.com/support/bulletins?gcp-2025-049', 'source': 'f45cbf4e-4146-4068-b7e1-655ffc2c548c'}]",,,,,"A Path Traversal vulnerability in the archive extraction component in Google SecOps SOAR Server (versions 6.3.54.0, 6.3.53.2, and all prior versions) allows an authenticated attacker with permissions to import Use Cases to achieve Remote Code Execution (RCE) via uploading a malicious ZIP archive containing path traversal sequences.",[],2,['CWE-22'],,,,,,,,,,,,,CVE-2025-9918,0.00339,0.56174
3446,CVE-2025-59535,security-advisories@github.com,2025-09-22 21:16:00.287,2025-09-29 12:53:14.557,Analyzed,"[{'url': 'https://github.com/dnnsoftware/Dnn.Platform/blob/develop/DNN%20Platform/Library/UI/Skins/Skin.cs#L305', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/dnnsoftware/Dnn.Platform/commit/72f30f69fd2214d77f6c2577dfcca495a24caf5c', 'source': 'security-advisories@github.com', 'tags': ['Patch']}, {'url': 'https://github.com/dnnsoftware/Dnn.Platform/security/advisories/GHSA-wq2j-w9pm-7x2p', 'source': 'security-advisories@github.com', 'tags': ['Vendor Advisory']}]",,,,,"DNN (formerly DotNetNuke) is an open-source web content management platform (CMS) in the Microsoft ecosystem. Prior to version 10.1.0, arbitrary themes can be loaded through query parameters. If an installed theme had a vulnerability, even if it was not used on any page, this could be loaded on unsuspecting clients without knowledge of the site owner. This issue has been patched in version 10.1.0.",['cpe:2.3:a:dnnsoftware:dotnetnuke:*:*:*:*:*:*:*:*'],3,"['CWE-20', 'CWE-200', 'CWE-829']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,6.5,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,LOW,CVE-2025-59535,0.00125,0.32674
