,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile,isNetwork,NOprivilegesRequired,privileges_color,userInteraction
110,CVE-2025-52544,dd59f033-460c-4b88-a075-d4d3fedb6191,2025-09-02 12:15:36.677,2025-10-01 18:27:30.030,Analyzed,"[{'url': 'https://www.armis.com/research/frostbyte10/', 'source': 'dd59f033-460c-4b88-a075-d4d3fedb6191', 'tags': ['Mitigation', 'Third Party Advisory']}]",,,,,"E3 Site Supervisor Control (firmware version < 2.31F01) has a floor plan feature that allows for an unauthenticated attacker to upload floor plan files. By uploading a specially crafted floor plan file, an attacker can access any file from the E3 file system.",['cpe:2.3:o:copeland:e3_supervisory_controller_firmware:*:*:*:*:*:*:*:*'],1,['CWE-20'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-52544,0.00122,0.32228,True,False,NONE,NONE
303,CVE-2025-57147,cve@mitre.org,2025-09-03 15:15:38.563,2025-09-08 17:18:49.497,Analyzed,"[{'url': 'https://doc.clickup.com/3897127/p/h/3pxt7-12556/5435bb675762866', 'source': 'cve@mitre.org', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,"A SQL Injection vulnerability was found in phpgurukul Complaint Management System 2.0. The vulnerability is due to lack of input validation of multiple parameters including fullname, email, and contactno in user/registration.php.",['cpe:2.3:a:phpgurukul:complaint_management_system:2.0:*:*:*:-:*:*:*'],1,['CWE-89'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-57147,0.00033,0.08482,True,False,NONE,NONE
672,CVE-2025-54914,secure@microsoft.com,2025-09-04 23:15:32.110,2025-09-05 17:47:10.303,Awaiting Analysis,"[{'url': 'https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54914', 'source': 'secure@microsoft.com'}]",,,,,Azure Networking Elevation of Privilege Vulnerability,[],1,['CWE-284'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-54914,0.00058,0.18515,True,False,NONE,NONE
1116,CVE-2025-42944,cna@sap.com,2025-09-09 02:15:42.173,2025-10-14 02:15:31.470,Awaiting Analysis,"[{'url': 'https://me.sap.com/notes/3634501', 'source': 'cna@sap.com'}, {'url': 'https://me.sap.com/notes/3660659', 'source': 'cna@sap.com'}, {'url': 'https://url.sap/sapsecuritypatchday', 'source': 'cna@sap.com'}]",,,,,"Due to a deserialization vulnerability in SAP NetWeaver, an unauthenticated attacker could exploit the system through the RMI-P4 module by submitting malicious payload to an open port. The deserialization of such untrusted Java objects could lead to arbitrary OS command execution, posing a high impact to the application's confidentiality, integrity, and availability.",[],3,['CWE-502'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-42944,0.00037,0.10485,True,False,NONE,NONE
1292,CVE-2025-55243,secure@microsoft.com,2025-09-09 17:16:07.100,2025-10-02 18:04:11.613,Analyzed,"[{'url': 'https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55243', 'source': 'secure@microsoft.com', 'tags': ['Vendor Advisory']}]",,,,,Exposure of sensitive information to an unauthorized actor in Microsoft Office Plus allows an unauthorized attacker to perform spoofing over a network.,['cpe:2.3:a:microsoft:officeplus:*:*:*:*:*:*:*:*'],1,['CWE-200'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-55243,0.00085,0.25874,True,False,NONE,NONE
1552,CVE-2025-8422,security@wordfence.com,2025-09-11 08:15:33.883,2025-09-11 17:14:10.147,Awaiting Analysis,"[{'url': 'https://plugins.trac.wordpress.org/browser/propovoice/trunk/includes/Api/Type/Email.php#L275', 'source': 'security@wordfence.com'}, {'url': 'https://www.wordfence.com/threat-intel/vulnerabilities/id/3ac72d7a-9540-435f-93cb-fdd4104b18f7?source=cve', 'source': 'security@wordfence.com'}]",,,,,"The Propovoice: All-in-One Client Management System plugin for WordPress is vulnerable to Arbitrary File Read in all versions up to, and including, 1.7.6.7 via the send_email() function. This makes it possible for unauthenticated attackers to read the contents of arbitrary files on the server, which can contain sensitive information.",[],2,['CWE-73'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-8422,0.00076,0.23799,True,False,NONE,NONE
2372,CVE-2025-41243,security@vmware.com,2025-09-16 15:15:44.330,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://spring.io/security/cve-2025-41243', 'source': 'security@vmware.com'}]",,,,,"Spring Cloud Gateway Server Webflux may be vulnerable to Spring Environment property modification.

An application should be considered vulnerable when all the following are true:

  *  The application is using Spring Cloud Gateway Server Webflux (Spring Cloud Gateway Server WebMVC is not vulnerable).
  *  Spring Boot actuator is a dependency.
  *  The Spring Cloud Gateway Server Webflux actuator web endpoint is enabled via management.endpoints.web.exposure.include=gateway.
  *  The actuator endpoints are available to attackers.
  *  The actuator endpoints are unsecured.",[],1,"['CWE-94', 'CWE-917']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-41243,0.00063,0.19963,True,False,NONE,NONE
2449,CVE-2025-34185,disclosure@vulncheck.com,2025-09-16 20:15:34.577,2025-09-25 14:56:39.847,Analyzed,"[{'url': 'https://packetstorm.news/files/id/207716/', 'source': 'disclosure@vulncheck.com', 'tags': ['Third Party Advisory']}, {'url': 'https://www.ilevia.com/', 'source': 'disclosure@vulncheck.com', 'tags': ['Product']}, {'url': 'https://www.vulncheck.com/advisories/ilevia-eve-x1-server-unauth-file-disclosure', 'source': 'disclosure@vulncheck.com', 'tags': ['Third Party Advisory']}, {'url': 'https://www.zeroscience.mk/en/vulnerabilities/ZSL-2025-5955.php', 'source': 'disclosure@vulncheck.com', 'tags': ['Third Party Advisory']}, {'url': 'https://www.zeroscience.mk/en/vulnerabilities/ZSL-2025-5955.php', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Third Party Advisory']}]",,,,,"Ilevia EVE X1 Server version ≤ 4.7.18.0.eden contains a pre-authentication file disclosure vulnerability via the 'db_log' POST parameter. Remote attackers can retrieve arbitrary files from the server, exposing sensitive system information and credentials.",['cpe:2.3:o:ilevia:eve_x1_server_firmware:*:*:*:*:*:*:*:*'],5,"['CWE-22', 'CWE-200', 'CWE-22']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-34185,0.00234,0.46353,True,False,NONE,NONE
2463,CVE-2025-37125,security-alert@hpe.com,2025-09-16 23:15:32.237,2025-09-17 14:18:55.093,Awaiting Analysis,"[{'url': 'https://support.hpe.com/hpesc/public/docDisplay?docId=hpesbnw04943en_us&docLocale=en_US', 'source': 'security-alert@hpe.com'}]",,,,,"A broken access control vulnerability exists in HPE Aruba Networking EdgeConnect OS (ECOS). Successful exploitation could allow an attacker to bypass firewall protections, potentially leading to unauthorized traffic being handled improperly",[],1,['CWE-284'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,CVE-2025-37125,0.00042,0.12336,True,False,NONE,NONE
3652,CVE-2025-20339,psirt@cisco.com,2025-09-24 17:15:40.523,2025-09-24 18:11:24.520,Awaiting Analysis,"[{'url': 'https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-defaultacl-pSJk9nVF', 'source': 'psirt@cisco.com'}]",,,,,"A vulnerability in the access control list (ACL) processing of IPv4 packets of Cisco SD-WAN vEdge Software could allow an unauthenticated, remote attacker to bypass a configured ACL.

This vulnerability is due to the improper enforcement of the implicit deny all at the end of a configured ACL. An attacker could exploit this vulnerability by attempting to send unauthorized traffic to an interface on an affected device. A successful exploit could allow the attacker to bypass an ACL on the affected device.",[],1,['CWE-284'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:L/A:N,5.8,MEDIUM,NETWORK,LOW,NONE,NONE,CHANGED,NONE,LOW,NONE,CVE-2025-20339,0.0003,0.07329,True,False,NONE,NONE
