,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile,cvss_category
13,CVE-2025-9758,cna@vuldb.com,2025-09-01 04:15:51.843,2025-09-11 21:16:26.307,Analyzed,"[{'url': 'https://gist.github.com/0xSebin/29cb8e043974d996509522cdb738edc6', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://gist.github.com/0xSebin/29cb8e043974d996509522cdb738edc6#proof-of-concept-poc', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.322059', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322059', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.640676', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://gist.github.com/0xSebin/29cb8e043974d996509522cdb738edc6', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://gist.github.com/0xSebin/29cb8e043974d996509522cdb738edc6#proof-of-concept-poc', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,A vulnerability was identified in deepakmisal24 Chemical Inventory Management System up to 1.0. Affected by this vulnerability is an unknown functionality of the file /inventory_form.php. Such manipulation of the argument chem_name leads to sql injection. The attack may be performed from remote. The exploit is publicly available and might be used.,['cpe:2.3:a:deepakmisal24:chemical_inventory_management_system:*:*:*:*:*:*:*:*'],7,"['CWE-74', 'CWE-89', 'CWE-89']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9758,0.00028,0.06611,Critical (9.0-10.0)
69,CVE-2025-9789,cna@vuldb.com,2025-09-01 18:15:29.743,2025-09-03 15:56:10.530,Undergoing Analysis,"[{'url': 'https://github.com/YoSheep/cve/blob/main/Online%20Hotel%20Reservation%20System%20In%20PHP%20With%20Source%20Code%20-%20SQL%20Injection%20in%20edituser.php.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.322104', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322104', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.641029', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.643116', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.643146', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.sourcecodester.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/YoSheep/cve/blob/main/Online%20Hotel%20Reservation%20System%20In%20PHP%20With%20Source%20Code%20-%20SQL%20Injection%20in%20edituser.php.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,A vulnerability was identified in SourceCodester Online Hotel Reservation System 1.0. Affected by this issue is some unknown functionality of the file /admin/edituser.php. The manipulation of the argument userid leads to sql injection. The attack may be initiated remotely. The exploit is publicly available and might be used.,['cpe:2.3:a:fabianros:online_hotel_reservation_system:1.0:*:*:*:*:*:*:*'],8,"['CWE-74', 'CWE-89']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9789,0.00039,0.11309,Critical (9.0-10.0)
71,CVE-2025-9791,cna@vuldb.com,2025-09-01 19:15:32.160,2025-09-04 16:20:55.250,Analyzed,"[{'url': 'https://github.com/Cpppq43/Tenda/blob/main/Tenda_AC20_V16.03.08.05.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/Cpppq43/Tenda/blob/main/Tenda_AC20_V16.03.08.05.md#poc', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.322106', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322106', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.641088', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.tenda.com.cn/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/Cpppq43/Tenda/blob/main/Tenda_AC20_V16.03.08.05.md', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/Cpppq43/Tenda/blob/main/Tenda_AC20_V16.03.08.05.md#poc', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,A weakness has been identified in Tenda AC20 16.03.08.05. This vulnerability affects unknown code of the file /goform/fromAdvSetMacMtuWan. This manipulation of the argument wanMTU causes stack-based buffer overflow. Remote exploitation of the attack is possible. The exploit has been made available to the public and could be exploited.,['cpe:2.3:o:tenda:ac20_firmware:16.03.08.5:*:*:*:*:*:*:*'],8,"['CWE-119', 'CWE-121', 'CWE-787']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9791,0.00084,0.25469,Critical (9.0-10.0)
76,CVE-2025-9794,cna@vuldb.com,2025-09-01 21:15:29.330,2025-09-03 15:53:51.967,Analyzed,"[{'url': 'https://github.com/Yuanwennnn/cve/issues/2', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Issue Tracking']}, {'url': 'https://github.com/e1evensu/cve/issues/1', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Issue Tracking']}, {'url': 'https://vuldb.com/?ctiid.322109', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322109', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.641103', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.642559', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.campcodes.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/Yuanwennnn/cve/issues/2', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Issue Tracking']}, {'url': 'https://github.com/e1evensu/cve/issues/1', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Issue Tracking']}]",,,,,A flaw has been found in Campcodes Computer Sales and Inventory System 1.0. The affected element is an unknown function of the file /pages/pos_transac.php?action=add. Executing manipulation of the argument cash/firstname can lead to sql injection. The attack may be performed from remote. The exploit has been published and may be used. Other parameters might be affected as well.,['cpe:2.3:a:campcodes:computer_sales_and_inventory_system:1.0:*:*:*:*:*:*:*'],9,"['CWE-74', 'CWE-89']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9794,0.00043,0.12688,Critical (9.0-10.0)
160,CVE-2025-9829,cna@vuldb.com,2025-09-02 19:15:33.323,2025-09-05 18:03:25.270,Analyzed,"[{'url': 'https://github.com/dad-zm/myCVE/issues/4', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory', 'Issue Tracking']}, {'url': 'https://phpgurukul.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://vuldb.com/?ctiid.322176', 'source': 'cna@vuldb.com', 'tags': ['Press/Media Coverage', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322176', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.641587', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.641592', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.641595', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/dad-zm/myCVE/issues/4', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory', 'Issue Tracking']}]",,,,,A vulnerability was identified in PHPGurukul Beauty Parlour Management System 1.1. The impacted element is an unknown function of the file /signup.php. The manipulation of the argument mobilenumber leads to sql injection. Remote exploitation of the attack is possible. The exploit is publicly available and might be used. Other parameters might be affected as well.,['cpe:2.3:a:phpgurukul:beauty_parlour_management_system:1.1:*:*:*:*:*:*:*'],8,"['CWE-74', 'CWE-89', 'CWE-89']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9829,0.00039,0.11309,Critical (9.0-10.0)
1040,CVE-2025-10097,cna@vuldb.com,2025-09-08 17:15:32.953,2025-09-12 20:53:05.000,Analyzed,"[{'url': 'https://github.com/simstudioai/sim/issues/961', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Issue Tracking', 'Vendor Advisory']}, {'url': 'https://github.com/simstudioai/sim/issues/961#issuecomment-3215578979', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Issue Tracking', 'Vendor Advisory']}, {'url': 'https://vuldb.com/?ctiid.323058', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.323058', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.644954', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/simstudioai/sim/issues/961', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Issue Tracking', 'Vendor Advisory']}, {'url': 'https://github.com/simstudioai/sim/issues/961#issuecomment-3215578979', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Issue Tracking', 'Vendor Advisory']}]",,,,,A vulnerability was identified in SimStudioAI sim up to 1.0.0. This impacts an unknown function of the file apps/sim/app/api/function/execute/route.ts. The manipulation of the argument code leads to code injection. The attack is possible to be carried out remotely.,['cpe:2.3:a:sim:sim:*:*:*:*:*:*:*:*'],7,"['CWE-74', 'CWE-94', 'CWE-94']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10097,0.0004,0.11652,Critical (9.0-10.0)
2860,CVE-2025-10687,cna@vuldb.com,2025-09-18 18:15:37.810,2025-09-19 20:42:37.463,Analyzed,"[{'url': 'https://github.com/kele28886/cve/issues/1', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.324811', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.324811', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.653365', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.sourcecodester.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/kele28886/cve/issues/1', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?submit.653365', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Third Party Advisory', 'VDB Entry']}]",,,,,A vulnerability was found in SourceCodester Responsive E-Learning System 1.0. This affects an unknown part of the file /admin/add_teacher.php. The manipulation of the argument Username results in sql injection. It is possible to launch the attack remotely. The exploit has been made public and could be used.,['cpe:2.3:a:jkev:responsive_e-learning_system:1.0:*:*:*:*:*:*:*'],7,"['CWE-74', 'CWE-89']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10687,0.0003,0.07395,Critical (9.0-10.0)
3033,CVE-2025-10768,cna@vuldb.com,2025-09-21 10:15:48.177,2025-10-08 20:04:01.310,Analyzed,"[{'url': 'https://github.com/ez-lbz/poc/issues/50', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://github.com/ez-lbz/poc/issues/50#issue-3389830879', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://vuldb.com/?ctiid.325124', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.325124', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.649508', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/ez-lbz/poc/issues/50', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Broken Link']}, {'url': 'https://github.com/ez-lbz/poc/issues/50#issue-3389830879', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Broken Link']}]",,,,,A flaw has been found in h2oai h2o-3 up to 3.46.08. The impacted element is an unknown function of the file /99/ImportSQLTable of the component IBMDB2 JDBC Driver. This manipulation of the argument connection_url causes deserialization. The attack may be initiated remotely. The exploit has been published and may be used. The vendor was contacted early about this disclosure but did not respond in any way.,['cpe:2.3:a:h2o:h2o:*:*:*:*:*:*:*:*'],7,"['CWE-20', 'CWE-502', 'CWE-502']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10768,0.00049,0.14971,Critical (9.0-10.0)
3034,CVE-2025-10769,cna@vuldb.com,2025-09-21 10:15:48.443,2025-10-08 19:58:40.783,Analyzed,"[{'url': 'https://github.com/ez-lbz/poc/issues/51', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://github.com/ez-lbz/poc/issues/51#issue-3391023368', 'source': 'cna@vuldb.com', 'tags': ['Broken Link']}, {'url': 'https://huntr.com/bounties/4066ce21-7148-44f5-8336-b1674c2f588d', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'Exploit']}, {'url': 'https://vuldb.com/?ctiid.325125', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.325125', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.649728', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.649793', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://github.com/ez-lbz/poc/issues/51', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Broken Link']}, {'url': 'https://github.com/ez-lbz/poc/issues/51#issue-3391023368', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Broken Link']}, {'url': 'https://huntr.com/bounties/4066ce21-7148-44f5-8336-b1674c2f588d', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Third Party Advisory', 'Exploit']}]",,,,,A vulnerability has been found in h2oai h2o-3 up to 3.46.08. This affects an unknown function of the file /99/ImportSQLTable of the component H2 JDBC Driver. Such manipulation of the argument connection_url leads to deserialization. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.,['cpe:2.3:a:h2o:h2o:*:*:*:*:*:*:*:*'],10,"['CWE-20', 'CWE-502', 'CWE-502']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10769,0.00058,0.18167,Critical (9.0-10.0)
3046,CVE-2025-10779,cna@vuldb.com,2025-09-22 04:15:45.437,2025-09-25 20:01:52.330,Analyzed,"[{'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-1.pdf', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-2.pdf', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.325135', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.325135', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.653690', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.653691', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.dlink.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}, {'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-1.pdf', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/scanleale/IOT_sec/blob/main/DCS-935L-2.pdf', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Third Party Advisory']}]",,,,,A vulnerability was found in D-Link DCS-935L up to 1.13.01. The impacted element is the function sub_402280 of the file /HNAP1/. The manipulation of the argument HNAP_AUTH/SOAPAction results in stack-based buffer overflow. The attack may be launched remotely. The exploit has been made public and could be used. This vulnerability only affects products that are no longer supported by the maintainer.,['cpe:2.3:o:dlink:dcs-935l_firmware:*:*:*:*:*:*:*:*'],9,"['CWE-119', 'CWE-121', 'CWE-787']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10779,0.00066,0.20918,Critical (9.0-10.0)
