,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile
120,CVE-2025-5662,security@huntr.dev,2025-09-02 12:15:38.420,2025-09-02 15:55:25.420,Awaiting Analysis,"[{'url': 'https://github.com/h2oai/h2o-3/commit/f714edd6b8429c7a7211b779b6ec108a95b7382d', 'source': 'security@huntr.dev'}, {'url': 'https://huntr.com/bounties/057a743b-b2ec-4312-8262-ce0ff8bc161c', 'source': 'security@huntr.dev'}]",,,,,A deserialization vulnerability exists in the H2O-3 REST API (POST /99/ImportSQLTable) that affects all versions up to 3.46.0.7. This vulnerability allows remote code execution (RCE) due to improper validation of JDBC connection parameters when using a Key-Value format. The vulnerability is present in the MySQL JDBC Driver version 8.0.19 and JDK version 8u112. The issue is resolved in version 3.46.0.8.,[],2,['CWE-502'],3.0,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-5662,0.0074,0.72165
1048,CVE-2025-57285,cve@mitre.org,2025-09-08 18:15:34.160,2025-09-12 20:37:59.793,Analyzed,"[{'url': 'https://gist.github.com/Dremig/1ba111f9b1f7cffe1fcb4838b64e55b9', 'source': 'cve@mitre.org', 'tags': ['Third Party Advisory', 'Exploit']}, {'url': 'https://www.npmjs.com', 'source': 'cve@mitre.org', 'tags': ['Product']}]",,,,,"codeceptjs 3.7.3 contains a command injection vulnerability in the emptyFolder function (lib/utils.js). The execSync command directly concatenates the user-controlled directoryPath parameter without sanitization or escaping, allowing attackers to execute arbitrary commands.",['cpe:2.3:a:codecept:codeceptjs:3.7.3:*:*:*:*:node.js:*:*'],2,['CWE-77'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-57285,0.00961,0.75783
1120,CVE-2025-10123,cna@vuldb.com,2025-09-09 03:15:32.583,2025-09-24 18:43:47.917,Analyzed,"[{'url': 'https://github.com/lin-3-start/lin-cve/blob/main/DIR-823X/D-Link%20DIR-823X%20routers%20have%20an%20unauthorized%20command%20execution%20vulnerability.md', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://github.com/lin-3-start/lin-cve/blob/main/DIR-823X/D-Link%20DIR-823X%20routers%20have%20an%20unauthorized%20command%20execution%20vulnerability.md#poc', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.323093', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.323093', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.645712', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.dlink.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}]",,,,,A vulnerability was determined in D-Link DIR-823X up to 250416. Affected by this vulnerability is the function sub_415028 of the file /goform/set_static_leases. Executing manipulation of the argument Hostname can lead to command injection. The attack can be launched remotely. The exploit has been publicly disclosed and may be utilized.,['cpe:2.3:o:dlink:dir-823x_firmware:*:*:*:*:*:*:*:*'],6,"['CWE-74', 'CWE-77']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10123,0.00344,0.5649
1289,CVE-2025-55232,secure@microsoft.com,2025-09-09 17:16:06.303,2025-09-11 17:14:25.240,Awaiting Analysis,"[{'url': 'https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55232', 'source': 'secure@microsoft.com'}]",,,,,Deserialization of untrusted data in Microsoft High Performance Compute Pack (HPC) allows an unauthorized attacker to execute code over a network.,[],1,['CWE-502'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-55232,0.00356,0.57278
1406,CVE-2025-57633,cve@mitre.org,2025-09-09 21:15:38.223,2025-09-11 17:14:25.240,Awaiting Analysis,"[{'url': 'https://gist.github.com/Spendroslav/1c0c6a6556992291b19c3178e3cb5885', 'source': 'cve@mitre.org'}, {'url': 'https://github.com/ajaypp123/FTP-Flask-python/blob/5173b6828244ff9729fa29cc144d74ccbea30a73/ftp_app.py', 'source': 'cve@mitre.org'}]",,,,,"A command injection vulnerability in FTP-Flask-python through 5173b68 allows unauthenticated remote attackers to execute arbitrary OS commands. The /ftp.html endpoint's ""Upload File"" action constructs a shell command from the ftp_file parameter and executes it using os.system() without sanitization or escaping.",[],2,['CWE-77'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-57633,0.00622,0.69314
1435,CVE-2025-59046,security-advisories@github.com,2025-09-09 23:15:37.780,2025-09-11 17:14:10.147,Awaiting Analysis,"[{'url': 'https://github.com/ninofiliu/interactive-git-checkout/commit/8dd832dd302af287a61611f4f85e157cd1c6bb41', 'source': 'security-advisories@github.com'}, {'url': 'https://github.com/ninofiliu/interactive-git-checkout/security/advisories/GHSA-4wcm-7hjf-6xw5', 'source': 'security-advisories@github.com'}, {'url': 'https://github.com/ninofiliu/interactive-git-checkout/security/advisories/GHSA-4wcm-7hjf-6xw5', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0'}]",,,,,The npm package `interactive-git-checkout` is an interactive command-line tool that allows users to checkout a git branch while it prompts for the branch name on the command-line. It is available as an npm package and can be installed via `npm install -g interactive-git-checkout`. Versions up to and including 1.1.4 of the `interactive-git-checkout` tool are vulnerable to a command injection vulnerability because the software passes the branch name to the `git checkout` command using the Node.js child process module's `exec()` function without proper input validation or sanitization. Commit 8dd832dd302af287a61611f4f85e157cd1c6bb41 fixes the issue.,[],3,['CWE-77'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-59046,0.00404,0.60365
2115,CVE-2025-58748,security-advisories@github.com,2025-09-15 17:15:35.937,2025-09-19 19:31:28.080,Analyzed,"[{'url': 'https://github.com/dataease/dataease/commit/23a45e72a7abc37d5680b0a7cf691b8df378d4ef', 'source': 'security-advisories@github.com', 'tags': ['Patch']}, {'url': 'https://github.com/dataease/dataease/security/advisories/GHSA-23qw-9qrh-9rr8', 'source': 'security-advisories@github.com', 'tags': ['Exploit', 'Vendor Advisory']}]",,,,,"Dataease is an open source data analytics and visualization platform. In Dataease versions up to 2.10.12 the H2 data source implementation (H2.java) does not verify that a provided JDBC URL starts with jdbc:h2. This lack of validation allows a crafted JDBC configuration that substitutes the Amazon Redshift driver and leverages the socketFactory and socketFactoryArg parameters to invoke org.springframework.context.support.FileSystemXmlApplicationContext or ClassPathXmlApplicationContext with an attacker‑controlled remote XML resource, resulting in remote code execution. Versions up to and including 2.10.12 are affected. The issue is fixed in version 2.10.13. Updating to version 2.10.13 or later is the recommended remediation. No known workarounds exist.",['cpe:2.3:a:dataease:dataease:*:*:*:*:*:*:*:*'],2,['CWE-502'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-58748,0.0034,0.56212
2866,CVE-2025-10689,cna@vuldb.com,2025-09-18 21:15:47.340,2025-10-03 17:26:40.087,Analyzed,"[{'url': 'https://github.com/scanleale/IOT_sec/blob/main/DIR-645-soapcgi.pdf', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory']}, {'url': 'https://vuldb.com/?ctiid.324813', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.324813', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.653689', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://www.dlink.com/', 'source': 'cna@vuldb.com', 'tags': ['Product']}]",,,,,A vulnerability was identified in D-Link DIR-645 105B01. This issue affects the function soapcgi_main of the file /soap.cgi. Such manipulation of the argument service leads to command injection. The attack can be launched remotely. The exploit is publicly available and might be used. This vulnerability only affects products that are no longer supported by the maintainer.,['cpe:2.3:o:dlink:dir-645_firmware:1.05b01:*:*:*:*:*:*:*'],5,"['CWE-74', 'CWE-77', 'CWE-77']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-10689,0.00836,0.73965
3730,CVE-2025-59834,security-advisories@github.com,2025-09-25 14:15:46.357,2025-10-14 20:05:46.243,Analyzed,"[{'url': 'https://github.com/srmorete/adb-mcp/blob/master/src/index.ts#L334-L355', 'source': 'security-advisories@github.com', 'tags': ['Product']}, {'url': 'https://github.com/srmorete/adb-mcp/commit/041729c0b25432df3199ff71b3163a307cf4c28c', 'source': 'security-advisories@github.com', 'tags': ['Patch']}, {'url': 'https://github.com/srmorete/adb-mcp/security/advisories/GHSA-54j7-grvr-9xwg', 'source': 'security-advisories@github.com', 'tags': ['Exploit', 'Vendor Advisory']}, {'url': 'https://github.com/srmorete/adb-mcp/security/advisories/GHSA-54j7-grvr-9xwg', 'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'tags': ['Exploit', 'Vendor Advisory']}]",,,,,"ADB MCP Server is a MCP (Model Context Protocol) server for interacting with Android devices through ADB. In versions 0.1.0 and prior, the MCP Server is written in a way that is vulnerable to command injection vulnerability attacks as part of some of its MCP Server tool definition and implementation. This issue has been patched via commit 041729c.",['cpe:2.3:a:srmorete:adb_mcp_server:*:*:*:*:*:node.js:*:*'],4,"['CWE-77', 'CWE-78', 'CWE-77']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-59834,0.00354,0.57182
3999,CVE-2025-58384,cve@mitre.org,2025-09-26 18:15:37.647,2025-09-29 19:34:10.030,Awaiting Analysis,"[{'url': 'https://doc.doxense.com/Watchdoc/J_Securite/cve-2025-58384.htm', 'source': 'cve@mitre.org'}, {'url': 'https://update.doxense.com/', 'source': 'cve@mitre.org'}]",,,,,"In DOXENSE WATCHDOC before 6.1.1.5332, Deserialization of Untrusted Data can lead to remote code execution through the .NET Remoting library in the Watchdoc administration interface.",[],2,['CWE-502'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,CVE-2025-58384,0.0039,0.59493
